Train Loss,Test Loss,Train Accuracy,Test Accuracy
1.6974425144444882,1.5015619554017718,0.5978529893494899,0.6138980263157895
1.4314129925241657,1.4071059775979895,0.6282859958854377,0.637952302631579
1.36187967054205,1.3344835893888223,0.6287966168004703,0.63671875
1.3080205134316987,1.2834819961143167,0.6315779989840937,0.6375411184210527
1.2674854954862906,1.2470731702878286,0.6321907440821329,0.6395970394736842
1.2370634885395275,1.219072669254322,0.6351523453893225,0.6410361842105263
1.2128214797163321,1.1960938138593185,0.6367863323174271,0.6439144736842105
1.1924838930173638,1.1765393204251795,0.6380899174540651,0.647203947368421
1.1748205240255867,1.159379236179551,0.6405408978462219,0.6494654605263158
1.159042359567156,1.14390564950085,0.6444216168004703,0.6521381578947368
1.1445730764881459,1.129561776675186,0.6485846790612912,0.6548108552631579
1.1309466065924152,1.1159728643435396,0.653690888211618,0.6564555921052632
1.1177995029617758,1.1029576800739098,0.6569348328253802,0.6605674342105263
1.1049181534573922,1.0903018297946179,0.6585688197534848,0.6644736842105263
1.0924863731549457,1.0777435429933433,0.6627318820143058,0.666735197368421
1.079955819969863,1.0652622269821892,0.6652849865894691,0.6689967105263158
1.0670265670305763,1.052346295254354,0.6682465878966587,0.6716694078947368
1.0540877286515205,1.038926749759795,0.671694780876434,0.67578125
1.0406536991689719,1.0257884465390816,0.6751670030986562,0.6803042763157895
1.0267369205655614,1.010518360748201,0.6790477220529045,0.6850328947368421
1.0126387077608918,0.995648495393413,0.6824959150326797,0.6877055921052632
0.9981735066261167,0.9804766831159788,0.6878063725490197,0.6928453947368421
0.9831988174541324,0.9644520589162743,0.6933210784313726,0.6961348684210527
0.9675906189516479,0.9475155981398482,0.6975081699346405,0.7020970394736842
0.9510819898321737,0.9310563674018915,0.7028186274509803,0.7084703947368421
0.9339083242260553,0.9128774362524334,0.7089460784313726,0.7150493421052632
0.9163679252652561,0.8993383596779926,0.7147671568627451,0.7197779605263158
0.8986931006892834,0.8792402327587632,0.7202818627450981,0.7263569078947368
0.8784852555764266,0.859826547822817,0.7272263071895425,0.7335526315789473
0.8589571889709023,0.8407956612339292,0.7346813725490197,0.7438322368421053
0.8378568475737291,0.8217362970034102,0.741421568627451,0.7483552631578947
0.8262939562692362,0.8039277180673947,0.7446895424836601,0.7563733552631579
0.8132652566323872,0.7865309333827003,0.7472426470588235,0.7633634868421053
0.7931294583904198,0.7645488361993461,0.7576593137254902,0.7711759868421053
0.7721024939145138,0.7423469585758683,0.7618464052287581,0.7759046052631579
0.7504111127623545,0.7172365184248376,0.7695057189542484,0.7833059210526315
0.7255284432687011,0.6987584460845315,0.7814542483660131,0.7900904605263158
0.6967727431869195,0.6713927841169367,0.7909517973856209,0.7999588815789473
0.6740522355425591,0.6511616467369573,0.7972834967320261,0.8075657894736842
0.6519457847853891,0.6280906644181079,0.803921568627451,0.8168174342105263
0.630784383542787,0.6105883470567948,0.8126021241830066,0.8194901315789473
0.6111844467376571,0.6018601428735756,0.8189338235294118,0.8194901315789473
0.5804485397449896,0.5724223587565479,0.8293504901960784,0.829358552631579
0.571221832697298,0.556346796565585,0.8293504901960784,0.8365542763157895
0.552620815612327,0.5291030676116383,0.838031045751634,0.8414884868421053
0.5192956005046571,0.5037543886888001,0.8503880718954249,0.8560855263157895
0.49852407429050777,0.4851947818702013,0.8562091503267973,0.8556743421052632
0.48787526993287933,0.47245041274168453,0.859375,0.860608552631579
0.46829663747860717,0.47417959505937207,0.8661151960784313,0.8585526315789473
0.45207208521615444,0.45822250991669106,0.8717320261437909,0.8680098684210527
0.4437275849818404,0.44750530154124135,0.8718341503267973,0.8700657894736842
0.42461055760679683,0.42291977791472546,0.8790849673202614,0.8735608552631579
0.4020139003671657,0.4012409506230094,0.8866421568627451,0.8848684210526315
0.3859699530027855,0.3846345364214166,0.8899101307189542,0.8871299342105263
0.3711026966377021,0.37159665416900106,0.8984885620915033,0.8965871710526315
0.3784088409852748,0.39499318718739423,0.8907271241830066,0.8844572368421053
0.3640084036327655,0.38457443273421776,0.894812091503268,0.8891858552631579
0.3659934655951908,0.38074728109763545,0.8922589869281046,0.8900082236842105
0.34612217286199914,0.3768129159306179,0.9024714052287581,0.8846628289473685
0.3350054398300796,0.3689754039399926,0.9065563725490197,0.8902138157894737
0.32123576867960246,0.337907773574491,0.9092116013071896,0.899671052631579
0.3093942080934842,0.3168334898101947,0.9133986928104575,0.91015625
0.3013387894610953,0.3001523378712399,0.9159517973856209,0.9155016447368421
0.2803679407616846,0.2866266586658496,0.9228962418300654,0.9194078947368421
0.26042690955930287,0.2726432957940568,0.930453431372549,0.9249588815789473
0.2503209124057511,0.26187411829357043,0.9324959150326797,0.9280427631578947
0.2403415222621821,0.2483420393424048,0.9395424836601307,0.9331825657894737
0.22482662671093456,0.2320917471083464,0.943218954248366,0.9409950657894737
0.21695175484504575,0.21819230888027769,0.9444444444444444,0.9436677631578947
0.20439724908727738,0.21079083913589688,0.9482230392156863,0.9471628289473685
0.19420822382314143,0.20519391004463136,0.9511846405228758,0.9461348684210527
0.18450795348392787,0.196401367349369,0.9524101307189542,0.9502467105263158
0.19098187628463884,0.18960525202716158,0.9497549019607843,0.9514802631578947
0.18311477162163048,0.1799288696884105,0.9527165032679739,0.9578536184210527
0.1673655822824419,0.17608606780564323,0.9576184640522876,0.9560032894736842
